id,from,to,voltage,reactance,resistance,circuits,pmax
394,411,412,380,7.417638574,0.855881374,2,1700
395,269,256,380,7.820681836,0.902386366,2,1700
396,308,310,380,4.656262858,0.537261099,2,1700
397,367,375,380,32.41258706,3.739913891,1,1700
398,414,413,380,7.47114657,0.862055373,2,1700
399,37,36,380,0.292559836,0.033756904,1,1700
400,163,161,380,8.121663708,0.937115043,1,1700
401,387,60,380,1.546436117,0.178434937,1,1700
402,268,40,380,20.04004102,2.312312426,1,1700
403,336,338,380,10.15285671,1.171483467,2,1700
404,166,170,380,6.356987782,0.73349859,1,1700
405,125,283,380,17.76545024,2.049859643,1,1700
406,357,355,380,16.20611913,1.869936822,2,1700
407,170,69,380,1.201040097,0.13858155,3,1700
408,295,306,380,13.04952204,1.505714081,2,1700
409,430,432,380,2.693943004,0.310839577,2,1700
410,150,158,380,3.850046305,0.444236112,1,1700
411,420,55,380,9.314270681,1.07472354,2,1700
412,235,170,380,30.84570836,3.559120195,1,1700
413,396,395,380,3.485942801,0.402224169,1,1700
414,214,387,380,11.87683312,1.370403821,2,1700
415,312,310,380,19.78563972,2.282958429,1,1700
416,414,415,380,7.721443312,0.890935767,2,1700
417,242,244,380,5.299273685,0.611454656,1,1700
418,355,354,380,5.824166467,0.672019208,2,1700
419,217,384,380,14.03756464,1.619718997,1,1700
420,297,299,380,4.409762435,0.508818742,2,1700
422,371,367,380,2.064248383,0.238182506,2,1700
423,36,65,380,1.05039616,0.121199557,1,1700
424,283,45,380,2.348493016,0.270979963,2,1700
425,214,215,380,3.940149222,0.454632603,2,1700
426,264,261,380,8.61823522,0.994411756,2,1700
427,231,254,380,26.40312833,3.046514807,1,1700
428,396,439,380,1.3858883,0.159910188,1,1700
429,362,363,380,4.394660816,0.507076248,2,1700
430,436,432,380,13.33689689,1.538872718,2,1700
431,392,393,380,12.2939492,1.4185326,1,1700
432,362,361,380,6.381307051,0.73630466,1,1700
433,417,420,380,38.7317579,4.469048988,1,1700
434,405,395,380,14.97093761,1.727415878,2,1700
435,225,181,380,18.85875667,2.176010385,2,1700
436,226,225,380,7.803784037,0.90043662,1,1700
437,273,270,380,5.129336078,0.591846471,1,1700
438,350,346,380,21.98947358,2.537246952,2,1700
439,186,445,380,1.724252146,0.198952171,1,1700
440,180,225,380,10.68041581,1.232355671,2,1700
441,353,352,380,14.75142268,1.702087232,2,1700
442,298,296,380,9.135072479,1.054046824,1,1700
443,161,444,380,1.089327613,0.125691648,1,1700
444,93,148,380,6.086764692,0.702319003,1,1700
445,346,344,380,5.298563776,0.611372743,2,1700
446,163,186,380,8.941195257,1.031676376,1,1700
447,249,188,380,32.27007392,3.723470067,2,1700
448,180,227,380,13.17260796,1.519916304,2,1700
449,128,192,380,7.782515661,0.897982576,1,1700
450,170,144,380,15.73959982,1.816107671,1,1700
451,281,42,380,0.352747178,0.040701597,1,1700
452,376,375,380,12.72725805,1.468529775,2,1700
453,231,128,380,22.55413156,2.602399795,2,1700
454,80,283,220,3.214643183,0.592699837,2,490
455,332,348,380,26.91200785,3.105231675,1,1700
456,412,416,380,22.71355937,2.620795311,2,1700
457,332,333,380,20.27159684,2.339030405,1,1700
458,130,229,380,19.71234732,2.274501613,1,1700
459,164,163,380,2.945600749,0.33987701,1,1700
460,254,291,380,14.42507562,1.664431802,1,1700
461,336,375,380,30.97922531,3.574525997,2,1700
462,350,357,380,31.63850488,3.650596717,2,1700
